Date;Value 
Dec 31, 2020;0.0158
Dec 31, 2019;0.0183
Dec 31, 2018;0.0209
Dec 31, 2017;0.0184
Dec 31, 2016;0.0203
Dec 31, 2015;0.0211
Dec 31, 2014;0.0192
Dec 31, 2013;0.0194
Dec 31, 2012;0.022
Dec 31, 2011;0.0213
Dec 31, 2010;0.0183
Dec 31, 2009;0.0202
Dec 31, 2008;0.0323
Dec 31, 2007;0.0187
Dec 31, 2006;0.0176
Dec 31, 2005;0.0176
Dec 31, 2004;0.0162
Dec 31, 2003;0.0161
Dec 31, 2002;0.0179
Dec 31, 2001;0.0137
Dec 31, 2000;0.0122
Dec 31, 1999;0.0117
Dec 31, 1998;0.0136
Dec 31, 1997;0.0161
Dec 31, 1996;0.02
Dec 31, 1995;0.0224
Dec 31, 1994;0.0289
Dec 31, 1993;0.027
Dec 31, 1992;0.0284
Dec 31, 1991;0.0314
Dec 31, 1990;0.0368
Dec 31, 1989;0.0317
Dec 31, 1988;0.0353
Dec 31, 1987;0.0366
Dec 31, 1986;0.0333
Dec 31, 1985;0.0381
Dec 31, 1984;0.0458
Dec 31, 1983;0.0431
Dec 31, 1982;0.0493
Dec 31, 1981;0.0536
Dec 31, 1980;0.0461
Dec 31, 1979;0.0524
Dec 31, 1978;0.0528
Dec 31, 1977;0.0498
Dec 31, 1976;0.0387
Dec 31, 1975;0.0415
Dec 31, 1974;0.0537
Dec 31, 1973;0.0357
Dec 31, 1972;0.0268
Dec 31, 1971;0.031
Dec 31, 1970;0.0349
Dec 31, 1969;0.0347
Dec 31, 1968;0.0288
Dec 31, 1967;0.0306
Dec 31, 1966;0.0353
Dec 31, 1965;0.0297
Dec 31, 1964;0.0298
Dec 31, 1963;0.0307
Dec 31, 1962;0.034
Dec 31, 1961;0.0282
Dec 31, 1960;0.0343
Dec 31, 1959;0.031
Dec 31, 1958;0.0327
Dec 31, 1957;0.0444
Dec 31, 1956;0.0375
Dec 31, 1955;0.0361
Dec 31, 1954;0.044
Dec 31, 1953;0.0584
Dec 31, 1952;0.0541
Dec 31, 1951;0.0602
Dec 31, 1950;0.0744
Dec 31, 1949;0.0689
Dec 31, 1948;0.0612
Dec 31, 1947;0.0559
Dec 31, 1946;0.0469
Dec 31, 1945;0.0381
Dec 31, 1944;0.0489
Dec 31, 1943;0.0531
Dec 31, 1942;0.062
Dec 31, 1941;0.0811
Dec 31, 1940;0.0636
Dec 31, 1939;0.0501
Dec 31, 1938;0.0402
Dec 31, 1937;0.0726
Dec 31, 1936;0.0422
Dec 31, 1935;0.036
Dec 31, 1934;0.0486
Dec 31, 1933;0.0441
Dec 31, 1932;0.0733
Dec 31, 1931;0.0972
Dec 31, 1930;0.0632
Dec 31, 1929;0.0453
Dec 31, 1928;0.0367
Dec 31, 1927;0.0441
Dec 31, 1926;0.0511
Dec 31, 1925;0.0482
Dec 31, 1924;0.0541
Dec 31, 1923;0.062
Dec 31, 1922;0.0581
Dec 31, 1921;0.0629
Dec 31, 1920;0.0749
Dec 31, 1919;0.0594
Dec 31, 1918;0.0722
Dec 31, 1917;0.1015
Dec 31, 1916;0.0571
Dec 31, 1915;0.0454
Dec 31, 1914;0.0571
Dec 31, 1913;0.0597
Dec 31, 1912;0.0512
Dec 31, 1911;0.0516
Dec 31, 1910;0.0519
Dec 31, 1909;0.0427
Dec 31, 1908;0.0443
Dec 31, 1907;0.067
Dec 31, 1906;0.0407
Dec 31, 1905;0.0346
Dec 31, 1904;0.0376
Dec 31, 1903;0.0533
Dec 31, 1902;0.041
Dec 31, 1901;0.0403
Dec 31, 1900;0.0437
Dec 31, 1899;0.0349
Dec 31, 1898;0.0354
Dec 31, 1897;0.0379
Dec 31, 1896;0.0427
Dec 31, 1895;0.044
Dec 31, 1894;0.0488
Dec 31, 1893;0.0567
Dec 31, 1892;0.0436
Dec 31, 1891;0.0407
Dec 31, 1890;0.0478
Dec 31, 1889;0.0414
Dec 31, 1888;0.0447
Dec 31, 1887;0.0474
Dec 31, 1886;0.039
Dec 31, 1885;0.0462
Dec 31, 1884;0.0714
Dec 31, 1883;0.0618
Dec 31, 1882;0.0548
Dec 31, 1881;0.0532
Dec 31, 1880;0.0445
Dec 31, 1879;0.0407
Dec 31, 1878;0.0522
Dec 31, 1877;0.0585
Dec 31, 1876;0.0838
Dec 31, 1875;0.0686
Dec 31, 1874;0.0727
Dec 31, 1873;0.0747
Dec 31, 1872;0.0592
Dec 31, 1871;0.0549
